	entry	grammar	definition	xr
418	accuṇha	adjective & neuter; ati+uṇha	(adjective) very hot: too hot	
419	accuṇha	adjective & neuter; ati+uṇha	(neuter) excessive heat	
420	accussanna	adjective	too thick; in lumps	ati+ussanna
421	acceka	adjective	urgent, pressing; irregular	
422	accekacīvara	neuter	a robe or material for a robe given not at the usual time (because of pressing reasons of the giver)	acceka
423	accayati	present 3 singular	passes (of time), elapses; passes by, eludes; passes by, neglects	acceti
424	accayati	present 3 singular	goes beyond; oversteps; overcomes; becomes free of	acceti
425	accokkaṭṭha	adjective	(of a robe) pulled down too far	ati+o+kasati
426	accogāḷha	adjective	too extravagant	ati+ogāḷha
427	accodāta	adjective	too white, too pale	ati+odāta
428	accha	adjective	clear; pure, clean; pellucid; transparent	
429	accha	adjective	a bear	
430	acchakañjīka	feminine	rice gruel	accha
431	accheti	present 3 singular	is; sits; remains, stays; continues (doing something); sits idle, sits doing nothing; (often used as an auxiliary with part, or absolutive)	acchati
432	acchanna	past participle adjective	clothed (with); covered	acchādeti
433	acchara	neuter	a wonderful thing, a marvel; amazement	acchera
434	accharā	feminine	a celestial nymph, a female divinity	
435	accharāsaṅghāta	masculine	a finger-snap; a moment	accharā+saṅghāta
436	accharikā	feminine	snapping of the fingers	
437	acchariya	adjective & neuter (masculine)	(adjective) wonderful, surprising, strange, marvelous; unusual, exceptional, of rare occurrence	
438	acchariya	adjective & neuter (masculine)	(nominative (and masculine)) a wonderful thing; a marvel	
439	acchariyaṁ	indeclinable	is used often as an exclamation (frequently combined with abbhutaṁ) how wonderful! what a wonderful thing! it’s a marvel!	acchiraya
440	acchariyamanussa	masculine	a wonderful exceptional man	acchariya
441	acchādana	neuter (adjective?)	covering, clothing, cloth; protection	
442	acchādāpetvā	cause. absolutive	causing to put on; presenting; clothing (with)	acchādeti
443	acchādita	past participle adjective	clothed (with)	acchādeti
444	acchādayati	present 3 singular	covers; clothes or presents with (clothes, instrumental); puts on (clothes, accusative)	acchādeti
445	acchādetvā	absolutive		acchādeti
446	acchādesi	aorist 3 singular		acchādeti
447	acchādesuṁ	3 plural		acchādeti
448	acchi	aorist 3 singular		acchati
449	acchijja	absolutive		acchindati
450	acchitabba	future passive participle m(fn.) impersonal		acchati
451	acchindati	present 3 singular	tears off; removes, removes forcibly; tears away from; robs (someone, accusative or genitive); plunders; deprives (of)	acchindati
452	acchindāpeti	causative present 3 singular		acchindati
453	acchindāpesuṁ	3 plural		acchindāpeti
454	acchindi	aorist 3 singular		acchindati
455	acchinditvā	absolutive		acchindati
456	acchindimsu	3 plural		acchindati
457	acchinna	past participle adjective	removed forcibly, taken away; plundered	acchindati
458	acchinna	past participle adjective	robbed	acchindati
459	acchinnacīvara	adjective	whose robe has been taken away or stolen	acchinna
460	acchinnacīvaraka	adjective (f. ~-cīvarika)	whose robe has been taken away or stolen	acchinnacīvara
461	acchisaṁ	1 singular		acchati
462	acchupīyati	passive present 3 sg (?)		acchupeti
463	acchupeti	present 3 singular	inserts; puts on or in	
464	acchejja	absolutive; a+chindati		acchindati
465	acchodaka	adjective; accha+udaka	having clear water; clear water	accha
466	acchodi	adjective	having clear water	accha
467	acchodika	adjective; accha+udika	having clear water	accha
468	aja	masculine	a goat; (masculine) a male goat, a billy-goat	ajā
469	ajaka	masculine (& ~ā feminine?)	a young goat	
470	ajaddhuka	neuter or ~ā feminine	abstinence (from eating)	
471	ajaddhumārikā	feminine	death by starvation	a+jaddhu+māri+kā
472	ajapada	adjective	“goat-footed” cloven like a goat’s hoof	aja
473	ajapālaka	masculine feminine; aja+pāla+ka	a goatherd	aja
474	ajalakkhaṇa	neuter	signs of health or omen on a goat	aja
475	ajavisāṇavaddhikā	adjective (feminine)	with points like goats’ horns	aja
476	ajā	feminine	a female goat	aja
477	ajikā	feminine	(and ajiyā?) a young she-goat	aja+ikā
478	ajikākhīra	neuter	goat’s milk	ajikā
479	ajikakkhāyita	adjective	chewed by goats	ajikā
480	ajina	neuter	the hairy skin of an animal; especially the skin of the black antelope (worn as a garment and used as a covering by ascetics)	
481	ajinakkhipa	masculine or neuter; ajina+khipa	a cloak of antelope skin	ajina
482	ajinappaveṇī	feminine; ajina+paveṇī	a covering or rug made from pieces of antelope skin sewn together	ajina
483	ajinasāṭī	feminine; ajina+sāṭī	a garment made of skins	ajina
484	ajeḷakā	neuter	goats and sheep; (perhaps two kinds of goats?)	aja
485	ajja	indeclinable	today; now; just now; at the present time	
486	ajjuka	masculine, neuter	name of a plant, perhaps white basil	
487	ajjatagge	indeclinable	henceforth; from this day forth	['ajja', 'agga']
488	ajjatana	adjective & masculine	(adjective) referring or belonging to today; modern; present	ajja
489	ajjatana	adjective & masculine	(masculine) the period of the current day; this day, today	ajja
490	ajjatā	feminine	the present time	ajja
491	ajjadagge	indeclinable	from this day onward	['ajja', 'agga']
492	ājjava	masculine, neuter	uprightness; straightness	uju
493	ajjasaṭṭhim	indeclinable	since six days ago, for six days	ajja
494	ajjuṇho	indeclinable	this day; the rest of this day and night	ajja+aṇha
495	ajjh-	prefix	is the form of the preverb adhi- before vowels except ī	
496	ajjhagaṁ	1 singular		['adhigacchati', 'adhigā']
497	ajjhagaṁsu	3 plural		adhigā
498	ajjhagamaṁ	1 singular		adhigacchati
499	ajjhagamaṁsu	3 plural		adhigacchati
500	ajjhagamā	aorist 3 singular		adhigacchati
501	ajjhagamiṁ	1 singular		adhigacchati
502	ajjhagamuṁ	3 plural		adhigacchati
503	ajjhagā	aorist 3 singular, 2 sg		adhigacchati
504	ajjhagū	3 plural		adhigā
505	ajjhatta	adjective & neuter	(from ajjhattaṁ) inner; subjective; within oneself; what is internal; oneself	ajjhattaṁ
506	ajjhattaṁ	indeclinable	concerning oneself in oneself; inwardly, personally; in regard to oneself (opposite bahiddhā)	adhi+attā
507	ajjhattabahiddhā	indeclinable	inwardly and outwardly; in regard to oneself and others	ajjhattaṁ
508	ajjhattika	adjective & neuter	personal; internal, inward; belonging to oneself (opposite bāhirā); what is personal, what belongs to oneself	ajjhattaṁ+ika
509	ajjhappattā	past participle	fallen upon or rushed at	
510	ajjhabhavi	aorist 3 singular		adhibhavati
511	ajjhabhāsi	aorist 3 singular	addressed	ajjhabhāsati
512	ajjhabhāsiṁ	1 singular		ajjhabhāsi
513	ajjhabhāsiṁsu	3 plural		ajjhabhāsi
514	ajjhabhū	2 singular		adhibhavati
515	ajjhāgamuṁ	aorist 3 plural	they found	adh+ā+gacchati
516	ajjhāgāre	indeclinable	at home, in one’s house	adhi+agāra
517	ajjhācarati	present 3 singular	practices, commits (an offense)	adhi+ā+carati
518	ajjhācāra	masculine	misconduct, transgression (especially sexual)	ajjhācarati
519	ajjhācare	indeclinable	as regards conduct	
520	ajjhāciṇṇa	past participle adjective	much practiced; habitually done	ajjhācarati
521	ajjhājīve	indeclinable	as regards way of life	
522	ajjhājapajjanta	adjective (f. ~antī)	committing an offense; incurring; guilty of	
523	ajjhājapatti	feminine	transgression; committing of (an offense)	
524	ajjhāpanna	past participle adjective	(act.) who has committed, become guilty of (an offense)	ajjhāpajjati
525	ajjhāpanna	past participle adjective	(passive) committed?	ajjhāpajjati
526	ajjhāpannaka	masculine	one who has committed an offense	
527	ajjhāyaka	masculine	one who studies (the Vedas); a studious, learned person, a scholar	ajjhāya+ka
528	ajjhārāma	masculine	the territory, grounds of a park	ajjhārāme
529	ajjhārāme	indeclinable	within a park or monastery	adhi+ārāma
530	ajjhārūha	adjective	overgrowing, dominating, parasitical	ajjhāruhati
531	ajjhārūhati	present 3 singular	grows in and up over (as a parasite); spreads over, dominates	adhi+ā+ruhati
532	ajjhāruḷha	past participle adjective	(passive) grown over, grown upon; spread over, dominated	ajjhāruhati
533	ajjhāvasaṁ	1 singular		ajjhāvasati
534	ajjhāvasat	present participle adjective		ajjhāvasati
535	ajjhāvasa	present participle adjective		ajjhāvasati
536	ajjhāvasati	present 3 singular	inhabits; dwells in, lives on (as ruler or owner); especially agāram ~ati, lives the settled life of a householder	adhi+ā+vasati
537	ajjhāvasatha	masculine	the inside or environs of a house or dwelling	ajjhāvasathe
538	ajjhāvasathe	indeclinable	within a house or dwelling	adhi+āvasatha
539	ajjhāvasanta	adjective (f. ~antī)		ajjhāvasati
540	ajjhāvasī	aorist 3 singular		ajjhāvasati
541	ajjhāvuttha	past participle adjective	lived in, inhabited, occupied	ajjhāvasati
542	ajjhāsayaṁ	indeclinable	as to the intention, state of mind	adhi+āsaya
543	ajjhiṭṭha	past participle adjective	requested; asked (especially to preach the dhamma)	ajjhesati
544	ajjhiṭṭhapañha	masculine	the question asked; the chosen question	ajjhiṭṭha
545	ajjhupagacchati	present 3 singular	comes to, reaches, enters (a state); consents to, agrees	adhi+upa+gacchati
546	ajjhupagamana	neuter	(from ajjhupagacchati) consent, agreeing to	ajjhupagacchati
547	ajjhūpagata	past participle adjective	(act.) who has come to, reached; entered upon; agreed to; gone over to	ajjhupagacchati
548	ajjhupekkhat	adjective		ajjhupekkhati
549	ajjhupekkha	adjective		ajjhupekkhati
550	ajjhūpekkhati	present 3 singular	looks on without interfering; views with impartiality or disinterestedness; tolerates, condones	adhi+upekkhati
551	ajjhupekkhiṁsu	3 plural		ajjhupekkhati
552	ajjhupekkhitabba	future passive participle adjective		ajjhupekkhati
553	ajjhupekkhitar	masculine	(from ajjhupekkhati) one who looks on with disinterestedness, detachment	ajjhupekkhati
554	ajjhupekkhita	masculine	(from ajjhupekkhati) one who looks on with disinterestedness, detachment	ajjhupekkhati
555	ajjhupekkhitvā	absolutive		ajjhupekkhati
556	ajjhupeti	present 3 singular	goes to; approaches; goes to meet	ajjhupeti
557	ajjhupeyyaṁ	optative 1 singular		ajjhupeti
558	ajjhupesi	aorist 3 singular		ajjhupeti
559	ajjheti	present 3 singular	cares for, longs for, broods	
560	ajjhena	neuter	learning, study (especially of the Vedas); recitation	ajjhayana
561	ajjhesati	present 3 singular	requests; asks (esp for instruction or recitation of the dhamma)	
562	ajjhesana	feminine	request, entreaty (especially to expound or recite the dhamma)	ajjhesati
563	ajjhesi	aorist 3 singular		ajjhesati
564	ajjhesitabba	future passive participle adjective		ajjhesati
565	ajjhokāsa	masculine	(from ajjhokāse) the open air	ajjhokāse
566	ajjhokāsagata	adjective	being in the open air	ajjhokāsa
567	ajjhokāse	indeclinable	in the open air, in the open	adhi+okāsa
568	ajjhokirati	present 3 singular	bestrews; scatters down on	adhi+o+kirati
569	ajjhogāḷha	past participle adjective	who has plunged into; entered; immersed	ajjhogāhati
570	ajjhogāḷhappatta	adjective	immersed in, intimate	ajjhogāḷha
571	ajjhogāhati	present 3 singular	plunges into; enters; puts out (to sea)	adhi+ogāhati
572	ajjhogāhitvā	absolutive		ajjhogāhati
573	ajjhottharati	present 3 singular	covers, spreads over; overwhelms, overpowers; threatens	adhi+ottharati
574	ajjhottharatitabba	absolutive		ajjhottharati
575	ajjhotharīyati	passive present 3 singular		ajjhottharati
576	ajjhopanna	adjective	addicted to, enthralled	adhi+o+pajjati
577	ajjhomaddati	present 3 singular	treads upon, crushes down	
578	ajjhomucchita	adjective	swooning; clinging to (in longing)	
579	ajjholambati	present 3 singular	hangs down (over)	
580	ajjhosa	absolutive		ajjhosati
581	ajjhosati	present 3 singular	grasps, clings to; relishes	
582	ajjhosāna	neuter (& masculine?)	grasping, clinging to; relishing	
583	ajjhosāya	absolutive		ajjhosati
584	ajjhosita	past participle adjective	(act.) attached to, grasping; being bent on	ajjhosati
585	ajjhosita	past participle adjective	(passive) grasped, caught	ajjhosati
586	ajjhositabba	future passive participle adjective		ajjhosita
587	ajjhoharaṇa	neuter	(from ajjhoharati) bringing down or near	ajjhoharati
588	ajjhoharati	present 3 singular; adhi+o+harati	brings down or near; puts in	
589	ajjhoharati	present 3 singular; adhi+o+harati	swallows, eats	
590	ajjhoharitabba	future passive participle adjective	to be eaten	ajjhoharati
591	ajjhoharī	aorist 3 singular		ajjhoharati
592	ajjhohāra	masculine, neuter	taking food; swallowing	
593	añchati	present 3 singular	stretc.hes; pulls, drags, turns (on a lathe)	
594	añjati	present 3 singular	smears, anoints; paints; makes clear	
595	añjati	present 3 singular	goes	
596	añjana	neuter	smearing, anointing (?)	
597	añjana	neuter	ointment, especially a collyrium for the eyes, used for decoration or as a medication; a pigment	
598	añjanakkhika	adjective	with eyes painted with collyrium	añjana
599	añjanithavikā	feminine	a bag for the collyrium pot	añjanī
600	añjanisalākā	feminine	a stick for applying ointment	añjanī
601	añjanī	feminine	a box for ointments, a collyrium pot	
602	añjanūpapiṁsana	neuter	perfume to mix with ointment	añjana
603	añjalikamma	neuter; añjali+kamma	a respectful salutation with cupped hands	añjalī
604	añjalikaraṇīya	adjective; añjali+karaṇīya	worthy of respectful salutations	añjalī
605	añjalika	adjective	with cupped hands raised	añjali+ka
606	añjalī	masculine (& feminine)	the cupped hands; especially as raised to the head (as a gesture of respect or supplication)	
