pali	grammar	meaning	from
ajjh	prefix	is the form of the preverb adhi- before vowels except ī	
ajjhatta	adjective & neuter	(from ajjhattaṁ) inner; subjective; within oneself; what is internal; oneself	ajjhattaṁ
ajjhattaṃ	indeclinable	concerning oneself in oneself; inwardly, personally; in regard to oneself (opposite bahiddhā)	adhi+attā
ajjhattabahiddhā	indeclinable	inwardly and outwardly; in regard to oneself and others	ajjhattaṁ
ajjhattika	adjective & neuter	personal; internal, inward; belonging to oneself (opposite bāhirā); what is personal, what belongs to oneself	ajjhattaṁ+ika
ajjhappattā	past participle	fallen upon or rushed at	
ajjhabhāsi	aorist 3 singular	addressed	ajjhabhāsati
ajjhāgamuṃ	aorist 3 plural	they found	adh+ā+gacchati
ajjhāgāre	indeclinable	at home, in one’s house	adhi+agāra
ajjhācarati	present 3 singular	practices, commits (an offense)	adhi+ā+carati
ajjhācāra	masculine	misconduct, transgression (especially sexual)	ajjhācarati
ajjhācare	indeclinable	as regards conduct	
ajjhāciṇṇa	past participle adjective	much practiced; habitually done	ajjhācarati
ajjhājīve	indeclinable	as regards way of life	
ajjhājapajjanta	adjective (f. ~antī)	committing an offense; incurring; guilty of	
ajjhājapatti	feminine	transgression; committing of (an offense)	
ajjhāpanna	past participle adjective	(act.) who has committed, become guilty of (an offense)	ajjhāpajjati
ajjhāpanna	past participle adjective	(passive) committed?	ajjhāpajjati
ajjhāpannaka	masculine	one who has committed an offense	
ajjhāyaka	masculine	one who studies (the Vedas); a studious, learned person, a scholar	ajjhāya+ka
ajjhārāma	masculine	the territory, grounds of a park	ajjhārāme
ajjhārāme	indeclinable	within a park or monastery	adhi+ārāma
ajjhārūha	adjective	overgrowing, dominating, parasitical	ajjhāruhati
ajjhārūhati	present 3 singular	grows in and up over (as a parasite); spreads over, dominates	adhi+ā+ruhati
ajjhāruḷha	past participle adjective	(passive) grown over, grown upon; spread over, dominated	ajjhāruhati
ajjhāvasati	present 3 singular	inhabits; dwells in, lives on (as ruler or owner); especially agāram ~ati, lives the settled life of a householder	adhi+ā+vasati
ajjhāvasatha	masculine	the inside or environs of a house or dwelling	ajjhāvasathe
ajjhāvasathe	indeclinable	within a house or dwelling	adhi+āvasatha
ajjhāvuttha	past participle adjective	lived in, inhabited, occupied	ajjhāvasati
ajjhāsayaṃ	indeclinable	as to the intention, state of mind	adhi+āsaya
ajjhiṭṭha	past participle adjective	requested; asked (especially to preach the dhamma)	ajjhesati
ajjhiṭṭhapañha	masculine	the question asked; the chosen question	ajjhiṭṭha
ajjhupagacchati	present 3 singular	comes to, reaches, enters (a state); consents to, agrees	adhi+upa+gacchati
ajjhupagamana	neuter	(from ajjhupagacchati) consent, agreeing to	ajjhupagacchati
ajjhūpagata	past participle adjective	(act.) who has come to, reached; entered upon; agreed to; gone over to	ajjhupagacchati
ajjhūpekkhati	present 3 singular	looks on without interfering; views with impartiality or disinterestedness; tolerates, condones	adhi+upekkhati
ajjhupekkhitar	masculine	(from ajjhupekkhati) one who looks on with disinterestedness, detachment	ajjhupekkhati
ajjhupekkhita	masculine	(from ajjhupekkhati) one who looks on with disinterestedness, detachment	ajjhupekkhati
ajjhupeti	present 3 singular	goes to; approaches; goes to meet	ajjhupeti
ajjheti	present 3 singular	cares for, longs for, broods	
ajjhena	neuter	learning, study (especially of the Vedas); recitation	ajjhayana
ajjhesati	present 3 singular	requests; asks (esp for instruction or recitation of the dhamma)	
ajjhesana	feminine	request, entreaty (especially to expound or recite the dhamma)	ajjhesati
ajjhokāsa	masculine	(from ajjhokāse) the open air	ajjhokāse
ajjhokāsagata	adjective	being in the open air	ajjhokāsa
ajjhokāse	indeclinable	in the open air, in the open	adhi+okāsa
ajjhokirati	present 3 singular	bestrews; scatters down on	adhi+o+kirati
ajjhogāḷha	past participle adjective	who has plunged into; entered; immersed	ajjhogāhati
ajjhogāḷhappatta	adjective	immersed in, intimate	ajjhogāḷha
ajjhogāhati	present 3 singular	plunges into; enters; puts out (to sea)	adhi+ogāhati
ajjhottharati	present 3 singular	covers, spreads over; overwhelms, overpowers; threatens	adhi+ottharati
ajjhopanna	adjective	addicted to, enthralled	adhi+o+pajjati
ajjhomaddati	present 3 singular	treads upon, crushes down	
ajjhomucchita	adjective	swooning; clinging to (in longing)	
ajjholambati	present 3 singular	hangs down (over)	
ajjhosati	present 3 singular	grasps, clings to; relishes	
ajjhosāna	neuter (& masculine?)	grasping, clinging to; relishing	
ajjhosita	past participle adjective	(act.) attached to, grasping; being bent on	ajjhosati
ajjhosita	past participle adjective	(passive) grasped, caught	ajjhosati
ajjhoharaṇa	neuter	(from ajjhoharati) bringing down or near	ajjhoharati
ajjhoharati	present 3 singular; adhi+o+harati	brings down or near; puts in	
ajjhoharati	present 3 singular; adhi+o+harati	swallows, eats	
ajjhoharitabba	future passive participle adjective	to be eaten	ajjhoharati
ajjhohāra	masculine, neuter	taking food; swallowing	
añchati	present 3 singular	stretc.hes; pulls, drags, turns (on a lathe)	
añjati	present 3 singular	smears, anoints; paints; makes clear	
añjati	present 3 singular	goes	
añjana	neuter	smearing, anointing (?)	
añjana	neuter	ointment, especially a collyrium for the eyes, used for decoration or as a medication; a pigment	
añjanakkhika	adjective	with eyes painted with collyrium	añjana
añjanithavikā	feminine	a bag for the collyrium pot	añjanī
añjanisalākā	feminine	a stick for applying ointment	añjanī
añjanī	feminine	a box for ointments, a collyrium pot	
añjanūpapiṃsana	neuter	perfume to mix with ointment	añjana
añjalikamma	neuter; añjali+kamma	a respectful salutation with cupped hands	añjalī
añjalikaraṇīya	adjective; añjali+karaṇīya	worthy of respectful salutations	añjalī
añjalika	adjective	with cupped hands raised	añjali+ka
añjalī	masculine (& feminine)	the cupped hands; especially as raised to the head (as a gesture of respect or supplication)	
añjasa	adjective & neuter	(adjective) straight; direct (of a road); upright (in morals)	
añjasa	adjective & neuter	(nominative (& masculine?)) the direct road or way	
añjasayana	masculine	the straight course	añjasa
añña	adjective pron	other; different; other than (+ ablative); another, a further, one more; somebody, something else; anything else; plural (the) others, the rest	añña
añña	adjective pron	“añña … añña” one… another…; some… some	añña
añña	adjective pron	one … another (different) …; one thing … another thing …	añña
aññañña	adjective pron	each other	añña
aññamañña	adjective pron	one another; each other	
aññamañña	adjective pron	one after the other; now one… now another…; various, different	
aññamaññaṃ	adverb	towards one another; mutually, reciprocally	añña-m-añña
aññamaññakhādikā	feminine	the eating of one another	añña-m-añña
aññakanthika	adjective	acquiescing in different views	añña
aññacetāpana	neuter ~ā, feminine	asking for something else; exchanging for something else (?)	añña
aññatama	adjective	one out of many; one or other of	añña+tama
aññatara	adjective pron; añña+tara	one of two; one of several; a certain… (often used as indefinite article: ‘a’); somebody, some…	
aññatara	adjective pron; añña+tara	other, another; different	
aññataraññatara	adjective	one or other; all kinds	aññatara
aññatitthiya	adjective & masculine; añña+titthiya	belonging to another sec; a non-Buddhist	añña
aññato	indeclinable; añña+to	from another, from somebody else; elsewhere; from elsewhere	
aññato	indeclinable; añña+to	as another (thing), as different	
aññattha	indeclinable	somewhere else, anywhere else, elsewhere	añña
aññatthācariyaka	adjective	following a different teaching	aññattha
aññatra	indeclinable	elsewhere, somewhere else; in another place	añña
aññatra	indeclinable	but for, besides, except, apart from; without (with ablative or instrumental (and accusative?))	añña
aññatra	indeclinable	“aññatra … aññatra …” in one place … in another …	añña
aññatrācariyaka	adjective	following a different teaching	aññatra
aññatrayoga	adjective	following another discipline or religious practice	aññatra
aññathatta	neuter abstr; aññathā+ta	change, alteration; change of mind; doubt, anxiety	aññathā
aññathā	indeclinable	in a different manner; otherwise (than, ablative); in the wrong way, falsely, erroneously; not so	añña
aññathā	indeclinable	“aññathā … aññathā …” in one way … in another way …; like this … different…	añña
aññathācariyaka	adjective	following a different teaching	aññathā
aññathābhava	masculine	becoming different; change, alteration	aññathā
aññathābhāvī	masculine	of changeable nature, inevitably changing	aññathā
aññathābhāvi	masculine	of changeable nature, inevitably changing	aññathā
aññadattha	masculine	another object or aim	añña
aññadatthika	adjective	having another object or purpose	añña
aññadatthu	indeclinable	only, exclusively, absolutely; merely; rather, on the contrary	añña+atthi
aññadatthudasa	m(fn.)	seeing absolutely the only seer (of Brahmā or Tathāgata)	aññadatthu
aññadatthuhara	adjective	who merely, only takes	aññadatthu
aññadā	indeclinable	at another time, at other times	añña+dā
aññadiṭṭhika	adjective	having different views	añña
aññapekkha	adjective	wishing for knowledge, wanting to know	aññā
aññapekha	adjective	wishing for knowledge, wanting to know	aññā
aññamokkha	adjective	to be released by another	añña
aññāvada	masculine	a statement of what is known (?)	aññā+vāda
aññavadaka	masculine & neuter	(masculine) one who speaks about something else, a prevaricator	añña
aññavadaka	masculine & neuter	(neuter) the offense of prevaricating	añña
aññavadīn	adjective	professing another doctrine	añña
aññavadī	adjective	professing another doctrine	añña
aññavihita	adjective	being occupied with something else	añña
aññavihitaka	adjective	occupied with something else; (repeated) directed to one thing … directed to another …	añña
aññā	feminine	knowledge, philosophic insight; perfect knowledge i.e. arahantship	ājānāti
aññāṃ vyākaroti	phrase	proclaims one’s arahatship	aññā
aññācitta	neuter	thought for knowledge, the intention of gaining perfect knowledge	aññā
aññāṇa	neuter	knowledge	ājānāti
aññāṇaka	neuter	ignorance; lack of understanding	aññāṇa+ka
aññātar	masculine	one who knows, who understands; a knower	ājānāti
aññāta	masculine	one who knows, who understands; a knower	ājānāti
aññātaka	adjective	unknown; unfamiliar	a+jānāti+ka
aññātakavesena	adv	in disguise; not in one owns form	aññātaka+vesa
aññātāvī	adjective	who has complete insight; (completely understood?)	
aññātāvi	adjective	who has complete insight; (completely understood?)	
aññātāvindriya	neuter; ājānāti+vi+indriya	the faculty of (having) complete insight	aññatāvi(n
aññādisa	adjective	of another kind; different	añña
aññindriya	neuter	the faculty of knowing	aññā
aññoññavivaresī	adjective	seeking faults in one another	añña
aññoññavivaresi	adjective	seeking faults in one another	añña
aṭaṭa	masculine	the name of a hell or place in Avīci (where one suffers for an aṭaṭa (high number) of years)	
aṭani	feminine	part of a bed or chair (probably the rails forming the frame)	
aṭalī	feminine	having several linings (of a certain kind of shoe)	
aṭavisaṅkopa	masculine	unrest in forest districts; disturbance of bandits or wild tribes	
aṭṭa	masculine	a watchtower	
aṭṭa	masculine	a lawsuit, a legal case	
aṭṭa	masculine	(adjective) distressed, tormented, afflicted; molested, plagued, hurt	
aṭṭaka	masculine	a (temporary) platform; scaffolding	aṭṭa+ka
aṭṭakaraṇa	neuter; aṭṭa+karaṇa	(the place for) dealing with lawsuits; seats of judgment, courtroom	aṭṭa
aṭṭakāraka	masculine ~ā feminine	one of the parties in a lawsuit	aṭṭa
aṭṭakārikā	masculine ~ā feminine	one of the parties in a lawsuit	aṭṭa
aṭṭassara	masculine; aṭṭa+sara	a cry of distress	aṭṭa
aṭṭāna	neuter	a rubbing board?; a post incised with squares and used as a scrubber by bathers	
aṭṭita	past participle adjective	distressed; grieved; pained	['ardayati', 'aṭṭiyati']
aṭṭīyati	present 3 singular	(from aṭṭa) is distressed, pained, disgusted	aṭṭa
aṭṭha	number	eight	
aṭṭhaṃsa	adjective	octagonal, eight-faceted	aṭṭha
aṭṭhaka	masculine, neuter	a group of eight; a whole consisting of eight parts; a section consisting of groups of eights	aṭṭha+ka
aṭṭhakavaggiya	adjective & neuter	belonging to the Aṭṭhakavagga of the Suttanipāta; (Snp 766–975)	aṭṭhaka+vagga+iya
